name,long_name,name_odessa,unit,domain,strategy,dimension,index
Q_fp_U_connecti_flow,mean mass flowrate of U,SOURCE 51:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_U_connecti_flow,cumulative total mass of U,SOURCE 51:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Xe_connecti_flow,mean mass flowrate of Xe,SOURCE 52:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Xe_connecti_flow,cumulative total mass of Xe,SOURCE 52:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Y_connecti_flow,mean mass flowrate of Y,SOURCE 53:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Y_connecti_flow,cumulative total mass of Y,SOURCE 53:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Yb_connecti_flow,mean mass flowrate of Yb,SOURCE 54:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Yb_connecti_flow,cumulative total mass of Yb,SOURCE 54:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Zn_connecti_flow,mean mass flowrate of Zn,SOURCE 55:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Zn_connecti_flow,cumulative total mass of Zn,SOURCE 55:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Zr_connecti_flow,mean mass flowrate of Zr,SOURCE 56:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Zr_connecti_flow,cumulative total mass of Zr,SOURCE 56:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_SMAG_connecti_flow,mean mass flowrate of SMAG,SOURCE 57:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_SMAG_connecti_flow,cumulative total mass of SMAG,SOURCE 57:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_SMB_connecti_flow,mean mass flowrate of SMB,SOURCE 58:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_SMB_connecti_flow,cumulative total mass of SMB,SOURCE 58:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_SMC_connecti_flow,mean mass flowrate of SMC,SOURCE 59:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_SMC_connecti_flow,cumulative total mass of SMC,SOURCE 59:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_SMCD_connecti_flow,mean mass flowrate of SMCD,SOURCE 60:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_SMCD_connecti_flow,cumulative total mass of SMCD,SOURCE 60:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_SMCL_connecti_flow,mean mass flowrate of SMCL,SOURCE 61:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_SMCL_connecti_flow,cumulative total mass of SMCL,SOURCE 61:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_SMCR_connecti_flow,mean mass flowrate of SMCR,SOURCE 62:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_SMCR_connecti_flow,cumulative total mass of SMCR,SOURCE 62:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_SMFE_connecti_flow,mean mass flowrate of SMFE,SOURCE 63:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_SMFE_connecti_flow,cumulative total mass of SMFE,SOURCE 63:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_SMIN_connecti_flow,mean mass flowrate of SMIN,SOURCE 64:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_SMIN_connecti_flow,cumulative total mass of SMIN,SOURCE 64:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_SMMN_connecti_flow,mean mass flowrate of SMMN,SOURCE 65:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_SMMN_connecti_flow,cumulative total mass of SMMN,SOURCE 65:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_SMNI_connecti_flow,mean mass flowrate of SMNI,SOURCE 66:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_SMNI_connecti_flow,cumulative total mass of SMNI,SOURCE 66:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_SMSI_connecti_flow,mean mass flowrate of SMSI,SOURCE 67:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_SMSI_connecti_flow,cumulative total mass of SMSI,SOURCE 67:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_SMSN_connecti_flow,mean mass flowrate of SMSN,SOURCE 68:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_SMSN_connecti_flow,cumulative total mass of SMSN,SOURCE 68:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_SMZR_connecti_flow,mean mass flowrate of SMZR,SOURCE 69:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_SMZR_connecti_flow,cumulative total mass of SMZR,SOURCE 69:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Ag_connecti_break,mean mass flowrate of Ag,SOURCE 4:QMAV,[kg/s],connection_fp,connection_break,connection_break
Q_fp_Am_connecti_break,mean mass flowrate of Am,SOURCE 5:QMAV,[kg/s],connection_fp,connection_break,connection_break
Q_fp_As_connecti_break,mean mass flowrate of As,SOURCE 6:QMAV,[kg/s],connection_fp,connection_break,connection_break
Q_fp_B_connecti_break,mean mass flowrate of B,SOURCE 7:QMAV,[kg/s],connection_fp,connection_break,connection_break
Q_fp_Ba_connecti_break,mean mass flowrate of Ba,SOURCE 8:QMAV,[kg/s],connection_fp,connection_break,connection_break
Q_fp_Br_connecti_break,mean mass flowrate of Br,SOURCE 9:QMAV,[kg/s],connection_fp,connection_break,connection_break
Q_fp_C_connecti_break,mean mass flowrate of C,SOURCE 10:QMAV,[kg/s],connection_fp,connection_break,connection_break
Q_fp_Cd_connecti_break,mean mass flowrate of Cd,SOURCE 11:QMAV,[kg/s],connection_fp,connection_break,connection_break
Q_fp_Ce_connecti_break,mean mass flowrate of Ce,SOURCE 12:QMAV,[kg/s],connection_fp,connection_break,connection_break
Q_fp_Cl_connecti_break,mean mass flowrate of Cl,SOURCE 13:QMAV,[kg/s],connection_fp,connection_break,connection_break
Q_fp_Cm_connecti_break,mean mass flowrate of Cm,SOURCE 14:QMAV,[kg/s],connection_fp,connection_break,connection_break
Q_fp_Cr_connecti_break,mean mass flowrate of Cr,SOURCE 15:QMAV,[kg/s],connection_fp,connection_break,connection_break
Q_fp_Cs_connecti_break,mean mass flowrate of Cs,SOURCE 16:QMAV,[kg/s],connection_fp,connection_break,connection_break
Q_fp_Cu_connecti_break,mean mass flowrate of Cu,SOURCE 17:QMAV,[kg/s],connection_fp,connection_break,connection_break
Q_fp_Eu_connecti_break,mean mass flowrate of Eu,SOURCE 18:QMAV,[kg/s],connection_fp,connection_break,connection_break
Q_fp_Fe_connecti_break,mean mass flowrate of Fe,SOURCE 19:QMAV,[kg/s],connection_fp,connection_break,connection_break
Q_fp_Ga_connecti_break,mean mass flowrate of Ga,SOURCE 20:QMAV,[kg/s],connection_fp,connection_break,connection_break
Q_fp_Gd_connecti_break,mean mass flowrate of Gd,SOURCE 21:QMAV,[kg/s],connection_fp,connection_break,connection_break
Q_fp_Ge_connecti_break,mean mass flowrate of Ge,SOURCE 22:QMAV,[kg/s],connection_fp,connection_break,connection_break
Q_fp_I_connecti_break,mean mass flowrate of I,SOURCE 23:QMAV,[kg/s],connection_fp,connection_break,connection_break
